ItemID,ShipmentID,Description,Quantity,ShipmentReceipt
2024000,1832,see shipping receipt (Guia),,
2024000,1833,see shipping receipt (Guia),,
2024000,1834,see shipping receipt (Guia),,
2024000,1835,see shipping receipt (Guia),,
2024000,1836,see shipping receipt (Guia),,
2024000,1837,see shipping receipt (Guia),,
2024000,1838,see shipping receipt (Guia),,
2024000,1839,see shipping receipt (Guia),,
2024000,1840,see shipping receipt (Guia),,
2024000,1841,see shipping receipt (Guia),,
2024000,1842,see shipping receipt (Guia),,
2024000,1843,see shipping receipt (Guia),,
2024000,1844,see shipping receipt (Guia),,
2024000,1845,see shipping receipt (Guia),,
2024000,1846,see shipping receipt (Guia),,
2024000,1847,see shipping receipt (Guia),,
2024000,1848,see shipping receipt (Guia),,
2024000,1849,see shipping receipt (Guia),,
2024000,1850,see shipping receipt (Guia),,
2024000,1851,see shipping receipt (Guia),,
2024000,1852,see shipping receipt (Guia),,
2024000,1853,see shipping receipt (Guia),,
2024000,1854,see shipping receipt (Guia),,
2024000,1855,see shipping receipt (Guia),,
2024000,1856,see shipping receipt (Guia),,
2024000,1857,see shipping receipt (Guia),,
2024000,1858,see shipping receipt (Guia),,
2024000,1859,see shipping receipt (Guia),,
2024000,1860,see shipping receipt (Guia),,
2024000,1861,see shipping receipt (Guia),,
2024000,1862,see shipping receipt (Guia),,
2024000,1863,see shipping receipt (Guia),,
2024000,1864,see shipping receipt (Guia),,
2024000,1865,see shipping receipt (Guia),,
2024000,1866,see shipping receipt (Guia),,
2024000,1867,see shipping receipt (Guia),,
2024000,1868,see shipping receipt (Guia),,
2024000,1869,see shipping receipt (Guia),,
2024000,1870,see shipping receipt (Guia),,
2024000,1871,see shipping receipt (Guia),,
2024000,1872,see shipping receipt (Guia),,
2024000,1873,see shipping receipt (Guia),,
2024000,1874,see shipping receipt (Guia),,
2024000,1875,see shipping receipt (Guia),,
2024000,1876,see shipping receipt (Guia),,
2024000,1877,see shipping receipt (Guia),,
2024000,1878,see shipping receipt (Guia),,
2024000,1879,see shipping receipt (Guia),,
2024000,1880,see shipping receipt (Guia),,
2024000,1881,see shipping receipt (Guia),,
2024000,1882,see shipping receipt (Guia),,
2024000,1883,see shipping receipt (Guia),,
2024000,1884,see shipping receipt (Guia),,
2024000,1885,see shipping receipt (Guia),,
2024000,1886,see shipping receipt (Guia),,
2024000,1887,see shipping receipt (Guia),,
2024000,1888,see shipping receipt (Guia),,